"rep","Dmean","Dse","decHour","DmmolMean","DmmolSE","CondMean","CondSE","PhotoMean","PhotoSE","CiCaMean","CiCaSE","gcMean","gcSE","vcmax_TinsMean","vcmax_TinsSE","vcmax_TsenMean","vcmax_TsenSE","sampleNo","round","spp","treatment","leafAge"
"2_EUC_drought_young",1.965,0.0995406114775941,12.8208333333333,19.3405511811024,0.979730427929076,0.008775,0.00197119887378215,0.6625,0.431921578530177,0.77637947366352,0.163910952378568,0.005484375,0.00123199929611384,5.98372787624263,3.06100820078244,6.12094794786008,3.15387227257107,4,"2","EUC","drought","young"
"2_EUC_well-watered_young",1.90166666666667,0.0519240898919866,11.3305555555556,18.7171916010499,0.511063876889633,0.0908166666666667,0.0191187066624404,7.42166666666667,1.25325553836576,0.613283821931338,0.0569581912624426,0.0567604166666667,0.0119491916640253,40.2391364874366,6.24227094231159,40.1718686231603,6.26879652270112,6,"2","EUC","well-watered","young"
"3_EUC_well-watered_young",2.452,0.114690888914508,13.84,24.1338582677165,1.12884733183571,0.08328,0.0152889960429062,7.038,0.916026200498654,0.600820088245762,0.0410861049753774,0.05205,0.00955562252681635,37.5441403462374,5.1857542319753,37.8548429310544,5.41718745594573,5,"3","EUC","well-watered","young"
"3b_EUC_control_young",2.33666666666667,0.0520683311727111,14.8111111111111,22.998687664042,0.512483574534557,0.0313,0.0126468704956338,1.35666666666667,0.570681853380478,0.718662396351088,0.112051148484007,0.0195625,0.00790429405977114,7.05860154984773,3.87823794037746,7.23234353961053,4.1378381526005,3,"3b","EUC","control","young"
"3b_EUC_drought_young",2.46,0.0657013444814234,14.8,24.2125984251969,0.646666776391963,0.010175,0.0022580873174732,0.025,0.444118978052804,0.945873749785507,0.145648443685661,0.006359375,0.00141130457342075,3.05643315607302,1.04571213216244,3.02964655758408,1.03526795096426,4,"3b","EUC","drought","young"
"4_EUC_well-watered_young",3.265,0.215,16.9416666666667,32.1358267716535,2.11614173228346,0.09385,0.04575,8.965,2.615,0.523288780673545,0.0977032858359727,0.05865625,0.02859375,54.1277389642126,4.74091559718601,58.6207158017657,0.666685649524542,2,"4","EUC","well-watered","young"
"4b_EUC_control_young",2.765,0.095,16.4833333333333,27.2145669291339,0.935039370078741,0.03075,0.01725,-0.585,1.315,0.927174867763048,0.185766191277726,0.01921875,0.01078125,3.08460127211459,NA,3.10218831091329,NA,2,"4b","EUC","control","young"
"4b_EUC_drought_young",2.78333333333333,0.0788106027835793,16.6611111111111,27.3950131233596,0.775694909287197,0.0102333333333333,0.00235607960627631,-0.49,0.100664459136943,1.17547251891902,0.0769697987095216,0.00639583333333333,0.00147254975392269,NA,NA,NA,NA,3,"4b","EUC","drought","young"
"1_MOL_control_young",1.34666666666667,0.065659052011974,9.21666666666667,13.254593175853,0.646250511928879,0.0929666666666667,0.0198452625189098,3.84333333333333,0.638339860715104,0.803082467146159,0.0308098438156189,0.0581041666666667,0.0124032890743186,15.1510182982836,2.47986075324553,15.5256867111432,2.66647125860468,3,"1","MOL","control","young"
"1_MOL_drought_young",1.4475,0.062232762004162,9.19583333333333,14.2470472440945,0.612527185080335,0.053825,0.0111109086787115,3.21,1.22899010031272,0.762892562923591,0.0518676420617043,0.033640625,0.00694431792419469,14.3361319010706,5.90197643378558,14.4289805523924,5.91702383723016,4,"1","MOL","drought","young"
